archaea_family,bacteria_phylum,observed,expected,residual
Methanobacteriaceae,Bacillota_B,0,0.01,-0.095
Methanobacteriaceae,Myxococcota,0,0.01,-0.095
,Campylobacterota,8,8.29,-0.101
Methanobacteriaceae,Verrucomicrobiota,0,0.01,-0.104
Haloferacaceae,Actinomycetota,695,697.79,-0.106
Halococcaceae,Bacteroidota,62,62.9,-0.114
Methanobacteriaceae,Bacillota_E,0,0.01,-0.121
Methanothermobacteraceae,Bacillota_B,0,0.02,-0.123
Methanothermobacteraceae,Myxococcota,0,0.02,-0.123
Methanothermobacteraceae,Deinococcota,2,2.19,-0.127
Methanobacteriaceae,Synergistota,0,0.02,-0.127
Nitrosopumilaceae,Bacillota_B,0,0.02,-0.129
Methanothermobacteraceae,Verrucomicrobiota,0,0.02,-0.136
Nitrosopumilaceae,Verrucomicrobiota,0,0.02,-0.142
,Bacillota,52,53.09,-0.15
Haloferacaceae,Deferribacterota,9,9.47,-0.152
Haladaptataceae,Deferribacterota,5,5.36,-0.157
Methanothermobacteraceae,Bacillota_E,0,0.02,-0.158
Natrialbaceae,Deferribacterota,9,9.5,-0.162
Methanothermobacteraceae,Synergistota,0,0.03,-0.165
Nitrosopumilaceae,Bacillota_E,0,0.03,-0.165
Methanobacteriaceae,Deferribacterota,0,0.03,-0.168
Methanosarcinaceae,Bacillota_C,4,4.35,-0.17
Nitrosopumilaceae,Synergistota,0,0.03,-0.172
Methanocaldococcaceae,Bacillota_B,0,0.03,-0.182
Methanocaldococcaceae,Myxococcota,0,0.03,-0.182
Methanocaldococcaceae,Verrucomicrobiota,0,0.04,-0.2
Methanothermobacteraceae,Deferribacterota,0,0.05,-0.218
Methanobacteriaceae,Desulfobacterota_F,0,0.05,-0.223
Nitrosopumilaceae,Deferribacterota,0,0.05,-0.228
Methanobacteriaceae,Nitrospirota,0,0.05,-0.229
GW2011-AR1,Myxococcota,0,0.06,-0.235
GW2011-AR1,Bacillota_B,0,0.06,-0.235
Methanocaldococcaceae,Synergistota,0,0.06,-0.243
Haloferacaceae,Bacillota,604,610.43,-0.26
Haloarculaceae,Deinococcota,405,410.26,-0.26
QS-9-68-17,Nitrospirota,3,3.54,-0.288
Methanothermobacteraceae,Nitrospirota,0,0.09,-0.298
Thermococcaceae,Bacillota_B,0,0.09,-0.299
GW2011-AR1,Bacillota_E,0,0.09,-0.301
Nitrosopumilaceae,Desulfobacterota_F,0,0.09,-0.304
Methanobacteriaceae,Chlamydiota,0,0.1,-0.311
Nitrosopumilaceae,Nitrospirota,0,0.1,-0.311
Haloarculaceae,Bacillota,569,576.48,-0.312
GW2011-AR1,Synergistota,0,0.1,-0.314
Methanocaldococcaceae,Deferribacterota,0,0.1,-0.323
Thermococcaceae,Verrucomicrobiota,0,0.11,-0.33
Haloferacaceae,Campylobacterota,92,95.32,-0.34
,Actinomycetota,58,60.69,-0.345
Methanobacteriaceae,Planctomycetota,0,0.12,-0.349
Methanobacteriaceae,Chloroflexota,0,0.13,-0.365
Halobacteriaceae,Planctomycetota,14,15.45,-0.369
Methanobacteriaceae,Desulfobacterota,0,0.14,-0.378
Thermococcaceae,Bacillota_E,0,0.15,-0.384
Haloferacaceae,Nitrospirota,16,17.64,-0.391
Thermococcaceae,Synergistota,0,0.16,-0.4
Methanothermobacteraceae,Chlamydiota,0,0.16,-0.404
Haloarculaceae,Nitrospirota,15,16.66,-0.407
Methanobacteriaceae,Acidobacteriota,0,0.17,-0.408
GW2011-AR1,Deferribacterota,0,0.17,-0.416
Natrialbaceae,Acidobacteriota,53,56.12,-0.417
Methanobacteriaceae,Fusobacteriota,0,0.18,-0.419
QS-9-68-17,Planctomycetota,7,8.21,-0.421
Nitrosopumilaceae,Chlamydiota,0,0.18,-0.422
Nitrosopumilaceae,Bacillota_A,1,1.52,-0.425
Haloferacaceae,Bacillota_E,4,4.95,-0.427
Methanobacteriaceae,Bacillota_C,0,0.18,-0.429
Methanocaldococcaceae,Desulfobacterota_F,0,0.18,-0.429
Halococcaceae,Desulfobacterota,6,7.15,-0.43
,Nitrospirota,1,1.53,-0.432
Haloferacaceae,Desulfobacterota_F,15,16.78,-0.435
Haloferacaceae,Chlamydiota,30,32.49,-0.437
Methanocaldococcaceae,Nitrospirota,0,0.19,-0.44
Haladaptataceae,Planctomycetota,21,23.16,-0.449
Haloarculaceae,Spirochaetota,79,83.11,-0.451
Methanothermobacteraceae,Planctomycetota,0,0.21,-0.454
Methanosarcinaceae,Bacillota_B,0,0.21,-0.46
Methanosarcinaceae,Myxococcota,0,0.21,-0.46
Methanothermobacteraceae,Chloroflexota,0,0.23,-0.475
Haloarculaceae,Synergistota,4,5.08,-0.479
GW2011-AR1,Spirochaetota,1,1.61,-0.482
Haloarculaceae,Chlamydiota,28,30.68,-0.484
,Chlamydiota,2,2.83,-0.491
Haloarculaceae,Desulfobacterota,42,45.31,-0.492
Haloarculaceae,Fusobacteriota,52,55.68,-0.493
Nitrosopumilaceae,Chloroflexota,0,0.25,-0.496
Methanosarcinaceae,Verrucomicrobiota,0,0.26,-0.507
,Bacillota_B,0,0.26,-0.512
,Myxococcota,0,0.26,-0.512
Methanobacteriaceae,Spirochaetota,0,0.26,-0.512
Halalkalicoccaceae,Deferribacterota,1,1.67,-0.516
