accession	gtdb_taxonomy	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	plasmid_abundance	plasmid_prevalence
GB_GCA_016215315.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__JACRKG01;s__JACRKG01 sp016215315	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__JACRKG01	s__JACRKG01 sp016215315	0	0
GB_GCA_017609645.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__JAFCDQ01;s__JAFCDQ01 sp017609645	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__JAFCDQ01	s__JAFCDQ01 sp017609645	0	0
GB_GCA_020051845.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__JAGVQG01;s__JAGVQG01 sp020051845	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__JAGVQG01	s__JAGVQG01 sp020051845	0	0
GB_GCA_018303245.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__JAGVYM01;s__JAGVYM01 sp018303245	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__JAGVYM01	s__JAGVYM01 sp018303245	0	0
GB_GCA_018302815.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__JAGVZE01;s__JAGVZE01 sp018302815	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__JAGVZE01	s__JAGVZE01 sp018302815	0	0
GB_GCA_023261345.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__JAHFOI01;s__JAHFOI01 sp023261345	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__JAHFOI01	s__JAHFOI01 sp023261345	0	0
GB_GCA_023266895.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__JAHFOI01;s__JAHFOI01 sp023266895	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__JAHFOI01	s__JAHFOI01 sp023266895	0	0
GB_GCA_019323255.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__JAHWHO01;s__JAHWHO01 sp019323255	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__JAHWHO01	s__JAHWHO01 sp019323255	0	0
GB_GCA_003599055.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__SURF-65;s__SURF-65 sp003599055	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__SURF-65	s__SURF-65 sp003599055	0	0
GB_GCA_016203305.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__SURF-65;s__SURF-65 sp016203305	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__SURF-65	s__SURF-65 sp016203305	0	0
GB_GCA_014729505.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__WJJS01;s__WJJS01 sp014729505	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__WJJS01	s__WJJS01 sp014729505	0	0
GB_GCA_014729555.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__WJJT01;s__WJJT01 sp014729555	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__WJJT01	s__WJJT01 sp014729555	0	0
GB_GCA_019322895.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__WJJT01;s__WJJT01 sp019322895	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__WJJT01	s__WJJT01 sp019322895	0	0
GB_GCA_019323015.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__WJJT01;s__WJJT01 sp019323015	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__WJJT01	s__WJJT01 sp019323015	0	0
GB_GCA_019323135.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__WJJT01;s__WJJT01 sp019323135	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__WJJT01	s__WJJT01 sp019323135	0	0
GB_GCA_019323555.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__WJJT01;s__WJJT01 sp019323555	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__WJJT01	s__WJJT01 sp019323555	0	0
GB_GCA_014729195.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__WJKI01;s__WJKI01 sp014729195	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__WJKI01	s__WJKI01 sp014729195	0	0
GB_GCA_016929895.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__WJKI01;s__WJKI01 sp016929895	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__WJKI01	s__WJKI01 sp016929895	0	0
GB_GCA_019322995.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;g__WJKI01;s__WJKI01 sp019322995	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__ARS49	g__WJKI01	s__WJKI01 sp019322995	0	0
GB_GCA_003650585.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__B29-G15;g__B29-G15;s__B29-G15 sp003650585	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__B29-G15	g__B29-G15	s__B29-G15 sp003650585	0	0
GB_GCA_903915225.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__B29-G15;g__CAIWSB01;s__CAIWSB01 sp903915225	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__B29-G15	g__CAIWSB01	s__CAIWSB01 sp903915225	0	0
GB_GCA_017610005.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__B29-G15;g__JAFCCU01;s__JAFCCU01 sp017610005	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__B29-G15	g__JAFCCU01	s__JAFCCU01 sp017610005	0	0
GB_GCA_005222965.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__B3-WOES;g__B3-WOES;s__B3-WOES sp005222965	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__B3-WOES	g__B3-WOES	s__B3-WOES sp005222965	0	0
GB_GCA_023131705.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__B3-WOES;g__JAGLZG01;s__JAGLZG01 sp023131705	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__B3-WOES	g__JAGLZG01	s__JAGLZG01 sp023131705	0	0
GB_GCA_003648985.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__B54-G15;g__B54-G15;s__B54-G15 sp003648985	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__B54-G15	g__B54-G15	s__B54-G15 sp003648985	0	0
GB_GCA_003650545.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__B72-G16;g__B72-G16;s__B72-G16 sp003650545	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__B72-G16	g__B72-G16	s__B72-G16 sp003650545	0	0
GB_GCA_002867475.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__BM511;g__BM511;s__BM511 sp002867475	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__BM511	g__BM511	s__BM511 sp002867475	0	0
GB_GCA_018221135.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__BM511;g__JAAOYB01;s__JAAOYB01 sp018221135	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__BM511	g__JAAOYB01	s__JAAOYB01 sp018221135	0	0
GB_GCA_018221175.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__BM511;g__JAAOYE01;s__JAAOYE01 sp018221175	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__BM511	g__JAAOYE01	s__JAAOYE01 sp018221175	0	0
GB_GCA_023266675.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__BM511;g__JAHFPP01;s__JAHFPP01 sp023266675	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__BM511	g__JAHFPP01	s__JAHFPP01 sp023266675	0	0
GB_GCA_016784165.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__BS150m-G63;g__BS150m-G63;s__BS150m-G63 sp016784165	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__BS150m-G63	g__BS150m-G63	s__BS150m-G63 sp016784165	0	0
GB_GCA_019322735.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__BS150m-G63;g__BS150m-G63;s__BS150m-G63 sp019322735	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__BS150m-G63	g__BS150m-G63	s__BS150m-G63 sp019322735	0	0
GB_GCA_023137655.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__BS150m-G63;g__JAGLOT01;s__JAGLOT01 sp023137655	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__BS150m-G63	g__JAGLOT01	s__JAGLOT01 sp023137655	0	0
GB_GCA_903842985.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CAIVOO01;g__CAIMOB01;s__CAIMOB01 sp903842985	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__CAIVOO01	g__CAIMOB01	s__CAIMOB01 sp903842985	0	0
GB_GCA_903904885.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CAIVOO01;g__CAIVED01;s__CAIVED01 sp903904885	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__CAIVOO01	g__CAIVED01	s__CAIVED01 sp903904885	0	0
GB_GCA_903907555.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CAIVOO01;g__CAIVOO01;s__CAIVOO01 sp903907555	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__CAIVOO01	g__CAIVOO01	s__CAIVOO01 sp903907555	0	0
GB_GCA_002762705.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG08-08-20-14;g__CG08-08-20-14;s__CG08-08-20-14 sp002762705	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__CG08-08-20-14	g__CG08-08-20-14	s__CG08-08-20-14 sp002762705	0	0
GB_GCA_002762865.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG1-02-33-12;g__CG1-02-33-12;s__CG1-02-33-12 sp002762865	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__CG1-02-33-12	g__CG1-02-33-12	s__CG1-02-33-12 sp002762865	0	0
GB_GCA_017609385.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG1-02-33-12;g__CG1-02-33-12;s__CG1-02-33-12 sp017609385	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__CG1-02-33-12	g__CG1-02-33-12	s__CG1-02-33-12 sp017609385	0	0
GB_GCA_017610275.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG1-02-33-12;g__CG1-02-33-12;s__CG1-02-33-12 sp017610275	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__CG1-02-33-12	g__CG1-02-33-12	s__CG1-02-33-12 sp017610275	0	0
GB_GCA_017610505.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG1-02-33-12;g__CG1-02-33-12;s__CG1-02-33-12 sp017610505	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__CG1-02-33-12	g__CG1-02-33-12	s__CG1-02-33-12 sp017610505	0	0
GB_GCA_018819345.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG1-02-33-12;g__CG1-02-33-12;s__CG1-02-33-12 sp018819345	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__CG1-02-33-12	g__CG1-02-33-12	s__CG1-02-33-12 sp018819345	0	0
GB_GCA_018901315.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG1-02-33-12;g__CG1-02-33-12;s__CG1-02-33-12 sp018901315	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__CG1-02-33-12	g__CG1-02-33-12	s__CG1-02-33-12 sp018901315	0	0
GB_GCA_018399355.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG1-02-33-12;g__M55A3;s__M55A3 sp018399355	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__CG1-02-33-12	g__M55A3	s__M55A3 sp018399355	0	0
GB_GCA_003561825.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG1-02-33-12;g__PWVO01;s__PWVO01 sp003561825	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__CG1-02-33-12	g__PWVO01	s__PWVO01 sp003561825	0	0
GB_GCA_002763335.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG1-02-47-18;g__CG1-02-47-18;s__CG1-02-47-18 sp002763335	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__CG1-02-47-18	g__CG1-02-47-18	s__CG1-02-47-18 sp002763335	0	0
GB_GCA_001871415.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__CG1-02-57-44;g__CG1-02-57-44;s__CG1-02-57-44 sp001871415	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__CG1-02-57-44	g__CG1-02-57-44	s__CG1-02-57-44 sp001871415	0	0
arch04411	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__DSVV01;g__;s__Genus species_1059	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__DSVV01	g__	s__Genus species_1059	0	0
arch04412	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__DSVV01;g__;s__Genus species_1066	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__DSVV01	g__	s__Genus species_1066	0	0
GB_GCA_018657385.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__DSVV01;g__JABHXF01;s__JABHXF01 sp018657385	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__DSVV01	g__JABHXF01	s__JABHXF01 sp018657385	0	0
GB_GCA_018661705.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__DSVV01;g__JABHXF01;s__JABHXF01 sp018661705	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__DSVV01	g__JABHXF01	s__JABHXF01 sp018661705	0	0
GB_GCA_016192995.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__DSVV01;g__JACPTB01;s__JACPTB01 sp016192995	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__DSVV01	g__JACPTB01	s__JACPTB01 sp016192995	0	0
GB_GCA_016205905.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__DSVV01;g__JACQSP01;s__JACQSP01 sp016205905	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__DSVV01	g__JACQSP01	s__JACQSP01 sp016205905	0	0
GB_GCA_018303325.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__DSVV01;g__JACQSP01;s__JACQSP01 sp018303325	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__DSVV01	g__JACQSP01	s__JACQSP01 sp018303325	0	0
GB_GCA_016219865.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__DSVV01;g__JACRKF01;s__JACRKF01 sp016219865	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__DSVV01	g__JACRKF01	s__JACRKF01 sp016219865	0	0
GB_GCA_018303075.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__DSVV01;g__JACRKF01;s__JACRKF01 sp018303075	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__DSVV01	g__JACRKF01	s__JACRKF01 sp018303075	0	0
GB_GCA_016214075.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__DSVV01;g__JACRPI01;s__JACRPI01 sp016214075	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__DSVV01	g__JACRPI01	s__JACRPI01 sp016214075	0	0
GB_GCA_016215305.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__DSVV01;g__JACRPI01;s__JACRPI01 sp016215305	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__DSVV01	g__JACRPI01	s__JACRPI01 sp016215305	0	0
GB_GCA_023267795.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__DSVV01;g__JACRPI01;s__JACRPI01 sp023267795	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__DSVV01	g__JACRPI01	s__JACRPI01 sp023267795	0	0
GB_GCA_016935125.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__DSVV01;g__JAFGRM01;s__JAFGRM01 sp016935125	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__DSVV01	g__JAFGRM01	s__JAFGRM01 sp016935125	0	0
GB_GCA_023898365.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-023898365;g__GCA-023898365;s__GCA-023898365 sp023898365	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GCA-023898365	g__GCA-023898365	s__GCA-023898365 sp023898365	0	0
GB_GCA_002685855.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-2685855;g__GCA-2685855;s__GCA-2685855 sp002685855	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GCA-2685855	g__GCA-2685855	s__GCA-2685855 sp002685855	0	0
arch04434	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-2686295;g__;s__Genus species_0981	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GCA-2686295	g__	s__Genus species_0981	0	0
GB_GCA_002686295.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-2686295;g__GCA-2686295;s__GCA-2686295 sp002686295	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GCA-2686295	g__GCA-2686295	s__GCA-2686295 sp002686295	0	0
GB_GCA_013202845.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-2686295;g__GCA-2686295;s__GCA-2686295 sp013202845	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GCA-2686295	g__GCA-2686295	s__GCA-2686295 sp013202845	0	0
GB_GCA_014384375.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-2686295;g__GCA-2686295;s__GCA-2686295 sp014384375	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GCA-2686295	g__GCA-2686295	s__GCA-2686295 sp014384375	0	0
GB_GCA_016784125.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-2686295;g__GCA-2686295;s__GCA-2686295 sp014384455	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GCA-2686295	g__GCA-2686295	s__GCA-2686295 sp014384455	0	0
GB_GCA_018812505.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-2686295;g__GCA-2686295;s__GCA-2686295 sp018812505	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GCA-2686295	g__GCA-2686295	s__GCA-2686295 sp018812505	0	0
GB_GCA_018819065.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-2686295;g__GCA-2686295;s__GCA-2686295 sp018819065	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GCA-2686295	g__GCA-2686295	s__GCA-2686295 sp018819065	0	0
GB_GCA_018817005.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-2686295;g__JAHIUF01;s__JAHIUF01 sp018817005	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GCA-2686295	g__JAHIUF01	s__JAHIUF01 sp018817005	0	0
GB_GCA_002687795.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-2687795;g__GCA-2687795;s__GCA-2687795 sp002687795	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GCA-2687795	g__GCA-2687795	s__GCA-2687795 sp002687795	0	0
arch04439	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR15;g__;s__Genus species_0210	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GW2011-AR15	g__	s__Genus species_0210	0	0
arch04448	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR15;g__;s__Genus species_0390	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GW2011-AR15	g__	s__Genus species_0390	0	0
GB_GCA_000830295.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR15;g__GW2011-AR15;s__GW2011-AR15 sp000830295	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GW2011-AR15	g__GW2011-AR15	s__GW2011-AR15 sp000830295	0	0
GB_GCA_018657065.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR15;g__GW2011-AR15;s__GW2011-AR15 sp018657065	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GW2011-AR15	g__GW2011-AR15	s__GW2011-AR15 sp018657065	0	0
GB_GCA_013335235.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR15;g__JAAXVZ01;s__JAAXVZ01 sp013335235	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GW2011-AR15	g__JAAXVZ01	s__JAAXVZ01 sp013335235	0	0
GB_GCA_018671515.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR15;g__JABHHN01;s__JABHHN01 sp018671515	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GW2011-AR15	g__JABHHN01	s__JABHHN01 sp018671515	0	0
GB_GCA_016928835.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR15;g__JAFGJW01;s__JAFGJW01 sp016928835	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GW2011-AR15	g__JAFGJW01	s__JAFGJW01 sp016928835	0	0
GB_GCA_016935095.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR15;g__JAFGRO01;s__JAFGRO01 sp016935095	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GW2011-AR15	g__JAFGRO01	s__JAFGRO01 sp016935095	0	0
GB_GCA_016934775.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR15;g__JAFGSP01;s__JAFGSP01 sp016934775	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GW2011-AR15	g__JAFGSP01	s__JAFGSP01 sp016934775	0	0
GB_GCA_018815145.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR15;g__JAHIYL01;s__JAHIYL01 sp018815145	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GW2011-AR15	g__JAHIYL01	s__JAHIYL01 sp018815145	0	0
GB_GCA_023701075.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR15;g__JAMPXQ01;s__JAMPXQ01 sp023701075	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GW2011-AR15	g__JAMPXQ01	s__JAMPXQ01 sp023701075	0	0
GB_GCA_014729915.1	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR15;g__WJJD01;s__WJJD01 sp014729915	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__GW2011-AR15	g__WJJD01	s__WJJD01 sp014729915	0	0
